Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.861 | 3.855 | 0.001000 | 1074.007 | 1074.007
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 7.039 | 7.037 | 0.001000 | 10.076 | 100.756
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.706 | 4.697 | 0.001000 | 128.752 | 1158.765
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.957 | 3.965 | 0.001000 | 249.136 | 1993.092
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.903 | 3.952 | 0.001000 | 368.639 | 2580.474
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.850 | 3.855 | 0.001000 | 489.486 | 2936.919
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.853 | 3.841 | 0.001000 | 610.010 | 3050.050
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.864 | 3.875 | 0.001000 | 730.914 | 2923.655
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.844 | 3.803 | 0.001000 | 850.620 | 2551.859
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.856 | 3.818 | 0.001000 | 971.723 | 1943.445
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.820 | 3.862 | 0.001000 | 1092.172 | 1092.172
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.994 | 6.997 | 0.001000 | 0.738 | 7.380
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.797 | 4.671 | 0.001000 | 9.861 | 88.747
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.001 | 4.020 | 0.001000 | 19.038 | 152.306
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 4.544 | 4.606 | 0.001000 | 28.230 | 197.611
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.935 | 3.962 | 0.001000 | 37.423 | 224.535
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 4.525 | 4.572 | 0.001000 | 46.605 | 233.025
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.941 | 3.931 | 0.001000 | 55.795 | 223.181
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.929 | 3.868 | 0.001000 | 65.015 | 195.044
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.911 | 3.854 | 0.001000 | 74.220 | 148.441
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.883 | 3.879 | 0.001000 | 83.405 | 83.405
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.149 | 6.149 | 0.001000 | 0.807 | 8.072
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.423 | 4.497 | 0.001000 | 10.048 | 90.436
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.033 | 4.019 | 0.001000 | 19.278 | 154.225
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 4.201 | 4.103 | 0.001000 | 28.506 | 199.543
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.887 | 3.933 | 0.001000 | 37.748 | 226.491
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.868 | 3.821 | 0.001000 | 46.987 | 234.936
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.861 | 3.818 | 0.001000 | 56.238 | 224.951
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.864 | 3.801 | 0.001000 | 65.476 | 196.427
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.892 | 3.830 | 0.001000 | 74.725 | 149.451
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.858 | 3.793 | 0.001000 | 83.964 | 83.964
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.228 | 6.229 | 0.001000 | 0.784 | 7.836
Epoch | Train Loss | Val Loss | LR | Time | ETA
